#TAXONOMY	Kingdom	Phylum	Class	Order	Family	Genus	Species
cea004df64fc162c42507c2a571d31dc	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces dentalis
0b3c4c7cdfebb2a28e83beae66e13e39	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces massiliensis
d95c43dde6b9c29384c5336dc6994109	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces massiliensis
733c87f59569ce516790101e8aeabfee	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces massiliensis
998e800c436a29b35d5014ebfac25f4e	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces gerencseriae
720b813ab1ee7efc97119b1cdcde9a97	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces gerencseriae
f674f82f6038798b6c19ccf82518b29d	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces israelii
1de965b85f6ad3a96c87044ad2f83fd1	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces israelii
e37c9a6e0ac7549272999152b1ffc546	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
82eb272b6dada4001545659e49ab9549	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
ab3b3799486ca94e0bdc07c210f8b204	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
46d95cfccaecc7643e44b05aa2c09336	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
1a18c9b3c32a7c21e9cef27d6482fab4	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
ad7bd592581bfd5c1e56446f98ea5c47	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
e91d97c04ab48d6189791098fe1980a6	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
0689416b1424be1cfad396185ce2387f	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
522c78dd969218314320b5ee5bca88d9	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
3be8c26461d04a35fed85f1afcf9bc2d	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
8ab03d1ab0aeb69f933a46ae5ca1a653	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
dad7f200f45db070b906cf83122c51e2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
b2e211aa2b7f1ddbd0284aa7e208f737	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
50afcfbe6b7be395951b86791309f97f	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
800ee822af20b5314ac7a108e70bd536	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp000220835
c7123a3fb2a4b8b91160848444a9b516	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces sp000220835
1043eb173a0906ab8a5d02582523d7c2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
18356dbead7afc9e7c99b5985f90df34	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
89efbfbfdc40551bc9068e2ce7532332	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
fedf6ff9779389bfe96ec4923b2f3ea6	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
12d48b27895210bafbd24522b998a28c	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
8f2b7becdb1a78ecfe5f6dcc49938ab2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
8810aac3a6cabbc1d8d6714fa0e6e64c	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
477b93fb9d407e123a67bfafe7ed56b8	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
4f8638a81bcfe915496fad59265202dd	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
8f955a60f4201d900369dd32a774b654	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
f0f5df6e53d6e29ed16d4d6b68cae47a	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
acc16eb247d62035feeb5fbeebc6c2e3	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
9120d6f9cfcc56ee2abbab4a752c52f5	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
7182badbbd9ac38984b68cc9df38aba8	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
41bc57e1be4e68bc4b8cd9c731b7b9f3	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
8fc5256899cd3cb0810e930c36c1eb5a	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces bowdenii
1e6ebc01d5cf15e6141428f4181a00e2	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
02adbf3329cc4288339dc8b78f06df9b	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
c4019313a0a24a5092d7a498c9b4979c	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
27c1c5ee29bcfea5185073acaa0490c3	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
99cd17dc93eb4d9dc0e46aa61aeb9c49	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
f0aa934d6856c30eec6bec644350699c	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
26c89c1389fe65c66cc3ed93a3983740	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
65ae64886109df6b067c245adca53bf6	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
0aa0b10c81b61491f71e28b4159571fc	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
8c3bf5023434bf63f42bfa21060ce730	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
8a6a64e24b3ab3d2981cd5932280b055	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
394f56690bbaffc995fd17374da67b03	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
99d00c863f45b68c2d5c042f5dbc1485	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
e7a144d786bed100e66fe5f679aa7d0e	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
906e92d92c5f62fbf693f369942006bc	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
7a7e3c7dfa67622b231f04a37b17acd6	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
05e3b93b8f220e10137455381b81b3cf	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
fec00bbbd3e776e9a045f07a10187fc3	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
72ca1eae86aca6e585c2b23dc7360bf3	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
d46ce48cb9a4dae9650b99803f25ab96	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
8c13cb26f5e6df42f934eeeca3d6d8b5	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
b35b1a54823eb6127b607bde6bb93a0a	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
af8cf8be274be63a88f7ff8d30183356	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
ccd29f3a0741b45360208be293f02e4e	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
48207becbe5c76533955b29bcf34cce7	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
2b2ad756dc1a470c94ef924e7a9014b9	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
9f769bcffe9feefafe1063af6465d97e	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
d97187349dbd5333a8afa91c70c21931	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces graevenitzii
a63f4f66557a7d5403f1ab9e8ca7d100	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces_unclassified
06ba7d551f762e1ddc326e31665897e9	Bacteria	Actinobacteriota	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	Actinomyces oris_A_386611
